CHICHARO,Taza,1/2,90,3/4,140,1 1/2,270,CHICHARO,1/2 Taza,45385 Taza,1 1/2 Taza,90,140,270
"GARBANZOS, HARINA CRUDA,Taza,1/2,55,1,110,1 1/2,170,""GARBANZOS, HARINA CRUDA"",1/2 Taza,1 Taza,1 1/2 Taza,55,110,170"
POROTOS CRUDO,Taza,1/4,50,1/2,100,1 1/2,150,POROTOS CRUDO,1/4 Taza,45323 Taza,1 1/2 Taza,50,100,150
"POROTOS, HARINA PRECOCIDO,Taza,1/2,55,1,110,2,220,""POROTOS, HARINA PRECOCIDO"",1/2 Taza,1 Taza,2 Taza,55,110,220"
POROTOS COCIDO,Taza,1/2,90,3/4,140,1 1/2,220,POROTOS COCIDO,1/2 Taza,45385 Taza,1 1/2 Taza,90,140,220
GARBANZO CRUDO,Taza,1/4,50,1/2,100,1,200,GARBANZO CRUDO,1/4 Taza,45323 Taza,1 Taza,50,100,200
"GARBANZO, HARINA PRECOCIDO,Taza,1/2,55,1,110,1 1/2,170,""GARBANZO, HARINA PRECOCIDO"",1/2 Taza,1 Taza,1 1/2 Taza,55,110,170"
GARBANZO COCIDO,Taza,1/2,90,3/4,140,1 1/2,270,GARBANZO COCIDO,1/2 Taza,45385 Taza,1 1/2 Taza,90,140,270
HABA SECA CRUDA,Taza,1/4,50,1/2,100,1 1/2,300,HABA SECA CRUDA,1/4 Taza,45323 Taza,1 1/2 Taza,50,100,300
LENTEJA CRUDA,Taza,1/4,50,1/2,100,1 1/2,300,LENTEJA CRUDA,1/4 Taza,45323 Taza,1 1/2 Taza,50,100,300
LENTEJA COCIDA,Taza,1/2,90,3/4,140,1 1/2,270,LENTEJA COCIDA,1/2 Taza,45385 Taza,1 1/2 Taza,90,140,270
"LENTEJA, HARINA CRUDA,Taza,1/2,110,1,220,1 1/2,330,""LENTEJA, HARINA CRUDA"",1/2 Taza,1 Taza,1 1/2 Taza,110,220,330"
"LENTEJA, HARINA PRECOCIDA,Taza,1/2,110,1,220,1 1/2,330,""LENTEJA, HARINA PRECOCIDA"",1/2 Taza,1 Taza,1 1/2 Taza,110,220,330"
SOYA PVT,Taza,1/2,90,1,185,1 1/2,270,SOYA PVT,1/2 Taza,1 Taza,1 1/2 Taza,90,185,270
CARNE VEGETAL,Taza,1/2,90,1,185,1 1/2,270,CARNE VEGETAL,1/2 Taza,1 Taza,1 1/2 Taza,90,185,270
HUEVO clara,Unidad,1,28,1,34,1,40,HUEVO clara,1 Unidad,1 Unidad,1 Unidad,28,34,40
CHORITOS,Unidad,1,4,3,12,5,20,CHORITOS,1 Unidad,3 Unidad,5 Unidad,4,12,20
CAMARON CONGELADO,Unidad,1,7,2,15,3,21,CAMARON CONGELADO,1 Unidad,2 Unidad,3 Unidad,7,15,21
VACUNO CRIADILLAS,Unidad,1,15,2,30,3,45,VACUNO CRIADILLAS,1 Unidad,2 Unidad,3 Unidad,15,30,45
CHOLGA,Unidad,1,7,3,20,4,29,CHOLGA,1 Unidad,3 Unidad,4 Unidad,7,20,29
NAVAJUELA,Unidad,1,7,2,14,3,24,NAVAJUELA,1 Unidad,2 Unidad,3 Unidad,7,14,24
ALMEJAS,Unidad,1,8,2,11,3,24,ALMEJAS,1 Unidad,2 Unidad,3 Unidad,8,11,24
PIURE,Porcion,1,9,1,15,1,25,PIURE,1 Porcion,1 Porcion,1 Porcion,9,15,25
LOCO,Porcion,1,35,1,60,1,70,LOCO,1 Porcion,1 Porcion,1 Porcion,35,60,70
CARACOL DE TIERRA,Porcion,1,30,1,40,1,50,CARACOL DE TIERRA,1 Porcion,1 Porcion,1 Porcion,30,40,50
"GONADAS, ERIZO,Porcion,1,100,1,200,1,400,""GONADAS, ERIZO"",1 Porcion,1 Porcion,1 Porcion,100,200,400"
JAMON PAVO,Unidad,1,20,1,35,1,45,JAMON PAVO,1 Unidad,1 Unidad,1 Unidad,20,35,45
CARACOL DE MAR,Unidad,1,15,2,35,3,60,CARACOL DE MAR,1 Unidad,2 Unidad,3 Unidad,15,35,60
CHORITOS CRUDOS,Unidad,3,20,6,45,10,70,CHORITOS CRUDOS,3 Unidad,6 Unidad,10 Unidad,20,45,70
CHORITO EN ACEITE,Unidad,3,25,10,65,12,77,CHORITO EN ACEITE,3 Unidad,10 Unidad,12 Unidad,25,65,77
JAIVA PROMEDIO,Taza,1,45,1,60,1,90,JAIVA PROMEDIO,1 Taza,1 Taza,1 Taza,45,60,90
OSTRA,Unidad,1,10,3,30,6,60,OSTRA,1 Unidad,3 Unidad,6 Unidad,10,30,60
MACHA EN CONSERVA,Unidad,1,6,2,12,3,18,MACHA EN CONSERVA,1 Unidad,2 Unidad,3 Unidad,6,12,18
"ALMEJAS, CONSERVA EN AGUA,Unidad,1,10,7,70,10,100,""ALMEJAS, CONSERVA EN AGUA"",1 Unidad,7 Unidad,10 Unidad,10,70,100"
GUACHALOMO,Trozo,1,50,1,150,1,170,GUACHALOMO,1 Trozo,1 Trozo,1 Trozo,50,150,170
LOMO VETADO,Trozo,1,50,1,150,1,180,LOMO VETADO,1 Trozo,1 Trozo,1 Trozo,50,150,180
CARNE VACUNO,Trozo,1,50,1,150,1,180,CARNE VACUNO,1 Trozo,1 Trozo,1 Trozo,50,150,180
ASIENTO PICANA,Trozo,1,50,1,150,1,180,ASIENTO PICANA,1 Trozo,1 Trozo,1 Trozo,50,150,180
FILETE,Trozo,1,50,1,150,1,180,FILETE,1 Trozo,1 Trozo,1 Trozo,50,150,180
POLLO GANSO,Trozo,1,50,1,150,1,180,POLLO GANSO,1 Trozo,1 Trozo,1 Trozo,50,150,180
POSTA NEGRA,Trozo,1,50,1,150,1,180,POSTA NEGRA,1 Trozo,1 Trozo,1 Trozo,50,150,180
POSTA ROSADA,Trozo,1,50,1,150,1,180,POSTA ROSADA,1 Trozo,1 Trozo,1 Trozo,50,150,180
HIGADO VACUNO COCIDO,Trozo,1,50,1,100,1,150,HIGADO VACUNO COCIDO,1 Trozo,1 Trozo,1 Trozo,50,100,150
CHOLGAS EN ACEITE,Unidad,3,30,6,60,9,90,CHOLGAS EN ACEITE,3 Unidad,6 Unidad,9 Unidad,30,60,90
"GALLINA, PECHUGA,Trozo,1,50,1,100,1,150,""GALLINA, PECHUGA"",1 Trozo,1 Trozo,1 Trozo,50,100,150"
PAVO ROSTIZADO,Trozo,1,1,1,70,1,110,PAVO ROSTIZADO,1 Trozo,1 Trozo,1 Trozo,1,70,110
